title,startAt,eventType,targetSegment,leadAgency,location
Walk to School Day Safety Pop-Up Event,,Assign Please!,Children Focused,FDOT D5,"13th Street & Michigan Avenue, St. Cloud, FL, USA"
Orlando Sentinel PRIME Expo,,Event,,FDOT D5,
Do Not Disturb While Driving Day (TBA),,Assign Please!,,,
National Night Out - Material Support Only,,Assign Please!,,,
National Chemistry Week (TBA),,Assign Please!,,,
Indian Harbor Beach APS Event,,Event,,,
Safe Holiday Travel,2025-11-01,Campaign,Supporting,FLHSMV,
Aviation History Month,2025-11-01,Assign Please!,Supporting,,
Daylight Saving Time,2025-11-02,Assign Please!,,n/a,
NHTSA Drowsy Driving Prevention Week (November 2 - November 8),2025-11-02,Campaign,Supporting,FLHSMV,
Together in Teal Ovarian Cancer Walk,2025-11-08,Event,Supporting,National Ovarian Center Coalition,"Cranes Roost Park, Cranes Roost Boulevard, Altamonte Springs, FL, USA"
Midway Elementary Bike Rodeo Helmet Fitting,2025-11-08,Event,Children Focused,Seminole County Sherriff’s Office School Crossing Guard Unit,"Midway Elementary School, Brisson Avenue, Sanford, FL, USA"
Veterans Day,2025-11-11,Assign Please!,Holiday,n/a,
World Kindness Day - social media campaign,2025-11-13,Assign Please!,,FDOT D5,
National Seat Belt Safety Day - social media campaign,2025-11-14,Assign Please!,,FDOT D5,
World Remembrance Day for Road Traffic Victims,2025-11-15,Assign Please!,Supporting,,
Crash Responder Safety Week (November 17 - November 21),2025-11-17,Campaign,Statewide,FHWA,
Thanksgiving,2025-11-27,Assign Please!,Holiday,n/a,
Volusia County Veterans Day Parade,2025-11-08,Event,,MainStreet DeLand Association,"100 North Woodland Boulevard, DeLand, FL, USA"
Volusia County School District FACT Fair Campbell Middle School,,Event,,Volusia County Schools,"Campbell Middle School, South Keech Street, Daytona Beach, FL, USA"
VCS Great American Teach-In 2025,,Event,,Volusia County Schools,
Blackout Wednesday : Buzzed Driving is Drunk Driving,,Assign Please!,,NHTSA,
Thanksgiving Holiday travel,,Assign Please!,Supporting,NHTSA,
Pre-Holiday Season,,Assign Please!,Supporting,NHTSA,
National Safe Routes to School,,Assign Please!,,FHP,
Occupant Protection Awareness,,Assign Please!,,NHTSA,
VHA Health and Wellness Expo,2025-11-21,Event,Supporting,VHA,
TV Bureau of Advertising Roadblock,2024-12-26,Assign Please!,,NHTSA,
Safe Holiday Travel,2025-12-01,Assign Please!,,,
National Impaired Driving Prevention Month,2025-12-01,Assign Please!,Supporting,,
Older Driver Safety Awareness Week (December 1 - December 5),2025-12-01,Assign Please!,National Campaign,NHTSA,
Holiday Season (December 7 - December 31),2025-12-07,Assign Please!,Supporting,NHTSA,
The Nobilo Foundation Christmas Event,2025-12-13,Event,Children Focused,The Nobilo Foundation,
Christmas Observed,2025-12-25,Assign Please!,Holiday,n/a,
Christmas,2025-12-25,Assign Please!,,n/a,
Kwanzaa,2025-12-26,Assign Please!,Holiday,n/a,
DeLand Christmas Parade,,Assign Please!,,FDOT,
Hanukkah,,Assign Please!,Holiday,n/a,
Oviedo Christmas Parade,,Assign Please!,,FDOT D5,"299 Center Lake Lane, Oviedo, FL, USA"
Celebrate the Season,,Assign Please!,,,"Reiter Park, West Warren Avenue, Longwood, FL, USA"
Light Up Enterprise,,Assign Please!,,,
FDOT Environmental Week (TBA),,Assign Please!,,,
,,,,,
